Time,Total population (Both sexes)?person?,Total population (0-14)?person?,Total population (15-64)?person?,Total population (65 and over)?person?,Live births?person?,Deaths?person?,Employment rate (Both sexes)?%?,Unemployment rate (Both sexes)?%?
Jun.2017,126943000,15663000,76121000,34982000,77148,97844,59.3,2.8
Jul.2017,126972000,15664000,76106000,35016000,80693,102387,59.1,2.8
Aug.2017,126949000,15642000,76052000,35061000,83061,103617,59.2,2.8
Sep.2017,126881000,15607000,75965000,35106000,81943,100893,59.4,2.8
Oct.2017,126919000,15592000,75962000,35152000,81124,110422,59.2,2.7
Nov.2017,126934000,15575000,75949000,35190000,77077,115170,59,2.6
Dec.2017,126922000,15563000,75916000,35215000,79441,124807,58.9,2.6
Jan.2018,126825000,15557000,75807000,35228000,78180,137773,59.1,2.4
Feb.2018,126851000,15537000,75781000,35290000,69567,122855,59.3,2.5
Mar.2018,126743000,15521000,75641000,35330000,74890,120575,59.6,2.5
Apr.2018,126760000,15517000,75609000,35376000,74412,108977,60.1,2.6
May.2018,126732000,15493000,75557000,35416000,78741,106196,60.3,2.3
Jun.2018,126783000,15484000,75581000,35445000,75906,98406,60.2,2.5
Jul.2018,126811000,15486000,75572000,35471000,79999,106782,60,2.5
Aug.2018,126785000,15463000,75525000,35508000,80755,105948,60.2,2.5
Sep.2018,126714000,15431000,75440000,35546000,77562,104679,60.5,2.4
Oct.2018,126749000,15415000,75451000,35578000,78692,112320,60.6,2.4
Nov.2018,126765000,15399000,75458000,35596000,74540,114473,60.4,2.4
Dec.2018,126753000,15387000,75437000,35611000,75156,123486,60,2.3
Jan.2019,126641000,15376000,75317000,35624000,72864,140223,59.7,2.4
Feb.2019,126642000,15353000,75281000,35675000,64376,117312,60,2.3
Mar.2019,126587000,15334000,75199000,35716000,69420,118335,60.3,2.5
Apr.2019,126600000,15320000,75181000,35752000,70154,112790,60.5,2.6
May.2019,126534000,15292000,75114000,35775000,75171,110055,60.7,2.4
Jun.2019,126612000,15287000,75178000,35786000,71154,101290,60.8,2.3
Jul.2019,126633000,15285000,75179000,35801000,76046,105858,60.7,2.3
Aug.2019,126593000,15259000,75131000,35829000,75705,110466,60.9,2.3
Sep.2019,126513000,15228000,75046000,35857000,73973,106732,61,2.4
Oct.2019,126555000,15210000,75072000,35885000,74007,113147,61.2,2.4
Nov.2019,126553000,15193000,75059000,35910000,69795,118152,60.9,2.2
Dec.2019,126540000,15174000,75046000,35924000,72574,126733,60.8,2.1
Jan.2020,126387000,15160000,74900000,35928000,71146,131091,60.3,2.3
Feb.2020,126409000,15141000,74877000,35986000,64497,116139,60.4,2.3
Mar.2020,126370000,15130000,74813000,36019000,68145,118020,60.4,2.6
Apr.2020,126342000,15116000,74763000,36050000,70623,112869,59.8,2.8
May.2020,126310000,15105000,74710000,36079000,70724,106992,60.1,2.9
Jun.2020,126279000,15089000,74670000,36099000,70271,99326,60.2,2.8
Jul.2020,126261000,15077000,74645000,36115000,74292,104126,60,2.9
Aug.2020,126239000,15064000,74606000,36139000,73095,111141,60.3,3
Sep.2020,126187000,15044000,74545000,36165000,73055,106345,60.3,3
Oct.2020,126146099,15032000,75088000,36027000,71789,116951,60.4,3.1
Nov.2020,125669000,15015000,75049000,36043000,66489,117607,60.6,2.8
Dec.2020,125651000,15000000,75034000,36054000,66709,132148,60.3,2.8
Jan.2021,125630000,14983000,75033000,36051000,61040,139899,60,2.9
Feb.2021,125552000,14953000,74954000,36083000,57533,118129,60.1,2.8
Mar.2021,125480000,14929000,74880000,36108000,66086,122189,60.2,2.7
Apr.2021,125417000,14908000,74811000,36136000,68663,117260,60.3,3
May.2021,125339000,14889000,74733000,36155000,67893,117291,60.3,3.1
Jun.2021,125285000,14866000,74694000,36163000,68694,107617,60.6,3
Jul.2021,125682000,14849000,74658000,36175000,72301,111623,60.8,2.8
Aug.2021,125633000,14829000,74615000,36189000,72615,116888,60.6,2.8
Sep.2021,125559000,14804000,74555000,36201000,72844,114373,60.5,2.8
Oct.2021,125502000,14784000,74504000,36214000,70616,120067,60.4,2.7
Nov.2021,125443000,14762000,74458000,36224000,66780,121510,60.3,2.7
Dec.2021,125380000,14742000,74411000,36227000,66557,133010,60.4,2.5
Jan.2022,125309000,14718000,74375000,36215000,64721,143288,60.1,2.7
Feb.2022,125194000,14689000,74264000,36240000,56868,137763,60.2,2.6
Mar.2022,125103000,14667000,74197000,36238000,62352,137983,60.5,2.6
Apr.2022,125071000,14649000,74184000,36238000,62209,120736,60.9,2.7
May.2022,125072000,14623000,74200000,36249000,61938,119992,61,2.8
Jun.2022,125104000,14597000,74257000,36250000,62432,111054,61.3,2.7
Jul.2022,125125000,14589000,74285000,36251000,66757,116960,61.3,2.5
Aug.2022,125082000,14563000,74263000,36256000,70950,134527,61.3,2.6
Sep.2022,124971000,14523000,74203000,36245000,69953,125463,61.3,2.7
Oct.2022,124947000,14503000,74208000,36236000,67449,130537,61.2,2.6
Nov.2022,124913000,14474000,74214000,36225000,62967,132975,60.9,2.4
Dec.2022,124861000,14449000,74202000,36209000,62163,157772,60.9,2.3
Jan.2023,124752000,14433000,74146000,36173000,57729,164264,60.7,2.4
Feb.2023,124631000,14395000,74056000,36180000,54504,134234,60.5,2.5
Mar.2023,124567000,14367000,74015000,36185000,58841,132596,60.8,2.8
Apr.2023,124554000,14346000,74010000,36198000,57762,121841,61.2,2.7
May.2023,124477000,14311000,73953000,36212000,62026,121023,61.2,2.7
Jun.2023,124511000,14290000,74005000,36216000,61378,112389,61.5,2.6
Jul.2023,124517000,14281000,74015000,36220000,64034,119412,61.4,2.6
Aug.2023,124439000,14240000,73972000,36228000,65364,129690,61.4,2.7
Sep.2023,124348000,14203000,73921000,36225000,61286,126188,61.6,2.6
Oct.2023,124340000,14190000,73930000,36220000,,,61.5,2.5
